text_source,model,label,precision,recall,f1-score,support
preprocessed_text,Logistic Regression,NEGATIVE,0.8672566371681416,0.8596491228070176,0.8634361233480177,114.0
preprocessed_text,Logistic Regression,POSITIVE,0.8160919540229885,0.8255813953488372,0.8208092485549133,86.0
preprocessed_text,Logistic Regression,accuracy,0.845,0.845,0.845,0.845
preprocessed_text,Logistic Regression,macro avg,0.8416742955955651,0.8426152590779274,0.8421226859514654,200.0
preprocessed_text,Logistic Regression,weighted avg,0.8452558234157257,0.845,0.8451065671869828,200.0
preprocessed_text,SVM,NEGATIVE,0.8584070796460177,0.8508771929824561,0.8546255506607929,114.0
preprocessed_text,SVM,POSITIVE,0.8045977011494253,0.813953488372093,0.8092485549132948,86.0
preprocessed_text,SVM,accuracy,0.835,0.835,0.835,0.835
preprocessed_text,SVM,macro avg,0.8315023903977214,0.8324153406772745,0.8319370527870439,200.0
preprocessed_text,SVM,weighted avg,0.8352690468924829,0.835,0.8351134424893687,200.0
preprocessed_text,DummyClassifier,NEGATIVE,0.5483870967741935,0.4473684210526316,0.4927536231884058,114.0
preprocessed_text,DummyClassifier,POSITIVE,0.411214953271028,0.5116279069767442,0.45595854922279794,86.0
preprocessed_text,DummyClassifier,accuracy,0.475,0.475,0.475,0.475
preprocessed_text,DummyClassifier,macro avg,0.4798010250226108,0.4794981640146879,0.4743560862056019,200.0
preprocessed_text,DummyClassifier,weighted avg,0.48940307506783237,0.475,0.4769317413831945,200.0
preprocessed_text,Transformer (DistilBERT),NEGATIVE,0.8372093023255814,0.9473684210526315,0.8888888888888888,114.0
preprocessed_text,Transformer (DistilBERT),POSITIVE,0.9154929577464789,0.7558139534883721,0.8280254777070064,86.0
preprocessed_text,Transformer (DistilBERT),accuracy,0.865,0.865,0.865,0.865
preprocessed_text,Transformer (DistilBERT),macro avg,0.8763511300360302,0.8515911872705018,0.8584571832979476,200.0
preprocessed_text,Transformer (DistilBERT),weighted avg,0.8708712741565674,0.865,0.8627176220806794,200.0
ner_text,Logistic Regression,NEGATIVE,0.8738738738738738,0.8508771929824561,0.8622222222222222,114.0
ner_text,Logistic Regression,POSITIVE,0.8089887640449438,0.8372093023255814,0.8228571428571428,86.0
ner_text,Logistic Regression,accuracy,0.845,0.845,0.845,0.845
ner_text,Logistic Regression,macro avg,0.8414313189594088,0.8440432476540187,0.8425396825396825,200.0
ner_text,Logistic Regression,weighted avg,0.8459732766474339,0.845,0.8452952380952381,200.0
ner_text,SVM,NEGATIVE,0.8495575221238938,0.8421052631578947,0.8458149779735683,114.0
ner_text,SVM,POSITIVE,0.7931034482758621,0.8023255813953488,0.7976878612716763,86.0
ner_text,SVM,accuracy,0.825,0.825,0.825,0.825
